CarGm,Team,Player,pfr_id,Date,Season,Week,Season_type,GS,RushAtt,RushYds,RushTD,Tgt,Rec,RecYds,RecTD,OffSnp,STSnp
0,DEN,Olandis Gary,GaryOl00,2000-09-10,2000,2,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-09-17,2000,3,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-09-24,2000,4,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-10-01,2000,5,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-10-08,2000,6,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-10-15,2000,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-10-22,2000,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,1970-01-01,2000,9,BYE,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-11-05,2000,10,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-11-13,2000,11,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-11-19,2000,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-11-26,2000,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-12-03,2000,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-12-10,2000,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-12-17,2000,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2000-12-23,2000,17,DNP,0,0,0,0,0,0,0,0,0,0
14,DEN,Olandis Gary,GaryOl00,2001-09-10,2001,1,REG,0,0,0,0,0,0,0,0,0,0
15,DEN,Olandis Gary,GaryOl00,2001-09-23,2001,2,REG,0,14,90,1,0,0,0,0,0,0
16,DEN,Olandis Gary,GaryOl00,2001-09-30,2001,3,REG,0,6,16,0,1,1,5,0,0,0
17,DEN,Olandis Gary,GaryOl00,2001-10-07,2001,4,REG,0,9,28,0,0,0,0,0,0,0
18,DEN,Olandis Gary,GaryOl00,2001-10-14,2001,5,REG,0,1,3,0,0,0,0,0,0,0
19,DEN,Olandis Gary,GaryOl00,2001-10-21,2001,6,REG,0,5,21,0,3,2,15,0,0,0
20,DEN,Olandis Gary,GaryOl00,2001-10-28,2001,7,REG,0,10,37,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2001-11-05,2001,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2001-11-11,2001,9,DNP,0,0,0,0,0,0,0,0,0,0
21,DEN,Olandis Gary,GaryOl00,2001-11-18,2001,10,REG,0,10,28,0,0,0,0,0,0,0
22,DEN,Olandis Gary,GaryOl00,2001-11-22,2001,11,REG,1,2,5,0,1,1,9,0,0,0
0,DEN,Olandis Gary,GaryOl00,2001-12-02,2001,12,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2001-12-09,2001,13,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2001-12-16,2001,14,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,1970-01-01,2001,15,BYE,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2001-12-30,2001,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2002-01-06,2001,17,DNP,0,0,0,0,0,0,0,0,0,0
23,DEN,Olandis Gary,GaryOl00,2002-09-08,2002,1,REG,1,11,37,0,5,5,48,0,0,0
24,DEN,Olandis Gary,GaryOl00,2002-09-15,2002,2,REG,1,12,61,1,1,1,11,0,0,0
25,DEN,Olandis Gary,GaryOl00,2002-09-22,2002,3,REG,0,0,0,0,0,0,0,0,0,0
26,DEN,Olandis Gary,GaryOl00,2002-09-30,2002,4,REG,0,5,18,0,3,2,14,0,0,0
27,DEN,Olandis Gary,GaryOl00,2002-10-06,2002,5,REG,0,4,8,0,3,3,31,0,0,0
28,DEN,Olandis Gary,GaryOl00,2002-10-13,2002,6,REG,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2002-10-20,2002,7,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2002-10-27,2002,8,DNP,0,0,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,1970-01-01,2002,9,BYE,0,0,0,0,0,0,0,0,0,0
29,DEN,Olandis Gary,GaryOl00,2002-11-11,2002,10,REG,0,0,0,0,0,0,0,0,0,0
30,DEN,Olandis Gary,GaryOl00,2002-11-17,2002,11,REG,0,1,19,0,2,2,9,0,0,0
31,DEN,Olandis Gary,GaryOl00,2002-11-24,2002,12,REG,0,1,8,0,1,1,10,0,0,0
32,DEN,Olandis Gary,GaryOl00,2002-12-01,2002,13,REG,0,1,-4,0,1,1,2,0,0,0
33,DEN,Olandis Gary,GaryOl00,2002-12-08,2002,14,REG,0,1,0,0,4,3,23,0,0,0
34,DEN,Olandis Gary,GaryOl00,2002-12-15,2002,15,REG,0,0,0,0,0,0,0,0,0,0
35,DEN,Olandis Gary,GaryOl00,2002-12-22,2002,16,REG,0,1,0,0,0,0,0,0,0,0
0,DEN,Olandis Gary,GaryOl00,2002-12-29,2002,17,DNP,0,0,0,0,0,0,0,0,0,0
36,DET,Olandis Gary,GaryOl00,2003-09-07,2003,1,REG,0,12,44,0,0,0,0,0,0,0
37,DET,Olandis Gary,GaryOl00,2003-09-14,2003,2,REG,1,9,8,0,3,2,7,0,0,0
38,DET,Olandis Gary,GaryOl00,2003-09-21,2003,3,REG,0,5,8,0,2,1,13,0,0,0
39,DET,Olandis Gary,GaryOl00,2003-09-28,2003,4,REG,0,7,42,0,1,1,-2,0,0,0
40,DET,Olandis Gary,GaryOl00,2003-10-05,2003,5,REG,0,14,64,1,2,2,14,0,0,0
0,DET,Olandis Gary,GaryOl00,1970-01-01,2003,6,BYE,0,0,0,0,0,0,0,0,0,0
41,DET,Olandis Gary,GaryOl00,2003-10-19,2003,7,REG,0,11,37,0,1,0,0,0,0,0
42,DET,Olandis Gary,GaryOl00,2003-10-26,2003,8,REG,0,8,18,0,4,1,5,0,0,0
43,DET,Olandis Gary,GaryOl00,2003-11-02,2003,9,REG,0,15,46,1,1,1,6,0,0,0
44,DET,Olandis Gary,GaryOl00,2003-11-09,2003,10,REG,0,1,-2,0,0,0,0,0,0,0
45,DET,Olandis Gary,GaryOl00,2003-11-16,2003,11,REG,0,6,43,0,2,1,4,0,0,0
46,DET,Olandis Gary,GaryOl00,2003-11-23,2003,12,REG,0,10,19,0,3,1,2,0,0,0
47,DET,Olandis Gary,GaryOl00,2003-11-27,2003,13,REG,0,10,37,0,0,0,0,0,0,0
48,DET,Olandis Gary,GaryOl00,2003-12-07,2003,14,REG,0,5,20,0,3,3,20,0,0,0
0,DET,Olandis Gary,GaryOl00,2003-12-14,2003,15,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Olandis Gary,GaryOl00,2003-12-21,2003,16,DNP,0,0,0,0,0,0,0,0,0,0
0,DET,Olandis Gary,GaryOl00,2003-12-28,2003,17,DNP,0,0,0,0,0,0,0,0,0,0
